"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Germany","2017","Cigars, cheroots, cigarettes, with tobacco substitute","Import","126009.0568968","2040","Weight in kilograms","2040"
"Germany","2017","Cigars, cheroots, cigarettes, with tobacco substitute","Export","175980.48646352","1739","Weight in kilograms","1739"
"Germany","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Import","371910355.525543","27258265.2507372","Weight in kilograms","27258265.2507372"
"Germany","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Export","695407692.023685","57062281","Weight in kilograms","57062281"
"Germany","2017","Homogenized or reconstituted tobacco","Import","41595552.474235","11180575","Weight in kilograms","11180575"
"Germany","2017","Homogenized or reconstituted tobacco","Export","5197050.50686245","696754","Weight in kilograms","696754"
"Germany","2017","Products of tobacco, substitute nes, extract, essence","Import","32860222.6541889","2624908","Weight in kilograms","2624908"
"Germany","2017","Products of tobacco, substitute nes, extract, essence","Export","56089254.7962267","7786962","Weight in kilograms","7786962"
"Germany","2016","Tobacco, unmanufactured, not stemmed or stripped","Import","116752330.693806","18275315.2515934","Weight in kilograms","18275315.2515934"
"Germany","2016","Tobacco, unmanufactured, not stemmed or stripped","Export","40661618.790544","5452054","Weight in kilograms","5452054"
"Germany","2016","Tobacco, unmanufactured, stemmed or stripped","Import","780309204.402584","130023089.962461","Weight in kilograms","130023089.962461"
"Germany","2016","Tobacco, unmanufactured, stemmed or stripped","Export","362915425.010885","49182774","Weight in kilograms","49182774"
"Germany","2016","Tobacco refuse","Import","13168518.2982021","13016388.5594707","Weight in kilograms","13016388.5594707"
"Germany","2016","Tobacco refuse","Export","5233088.25432228","5373324.01312158","Weight in kilograms","5373324.01312158"
"Germany","2016","Cigars, cheroots and cigarillos, containing tobacco","Import","148656652.511488","2854842.75215828","Weight in kilograms","2854842.75215828"
"Germany","2016","Cigars, cheroots and cigarillos, containing tobacco","Export","176243697.242608","3994819.25422128","Weight in kilograms","3994819.25422128"
"Germany","2016","Cigarettes containing tobacco","Import","633793888.976734","53386437","Weight in kilograms","53386437"
"Germany","2016","Cigarettes containing tobacco","Export","3559199883.58263","154715252","Weight in kilograms","154715252"
"Germany","2016","Cigars, cheroots, cigarettes, with tobacco substitute","Export","430129.10969754","38863","Weight in kilograms","38863"
"Germany","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Import","342087415.10905","26283296.0795639","Weight in kilograms","26283296.0795639"
"Germany","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Export","643517240.356543","46917188.8657866","Weight in kilograms","46917188.8657866"
"Germany","2016","Homogenized or reconstituted tobacco","Import","46391210.1599199","13238453.631508","Weight in kilograms","13238453.631508"
"Germany","2016","Homogenized or reconstituted tobacco","Export","5991647.83528014","598441.89516702","Weight in kilograms","598441.89516702"
"Germany","2016","Products of tobacco, substitute nes, extract, essence","Import","26466890.8823086","2667206.13642848","Weight in kilograms","2667206.13642848"
"Germany","2016","Products of tobacco, substitute nes, extract, essence","Export","122692178.66497","14941501.0256799","Weight in kilograms","14941501.0256799"
"USA","2018","Tobacco, unmanufactured, not stemmed or stripped","Import","313807773","48194960","Weight in kilograms","48194960"
"USA","2018","Tobacco, unmanufactured, not stemmed or stripped","Export","95694829","8278868","Weight in kilograms","8278868"
"USA","2018","Tobacco, unmanufactured, not stemmed or stripped","Re-Export","3065704","350755","Weight in kilograms","350755"
"USA","2018","Tobacco, unmanufactured, stemmed or stripped","Import","363193264","67471080.022892","Weight in kilograms","67471080.022892"
"USA","2018","Tobacco, unmanufactured, stemmed or stripped","Export","949059568","115823789","Weight in kilograms","115823789"
"USA","2018","Tobacco, unmanufactured, stemmed or stripped","Re-Export","14226553","2200540","Weight in kilograms","2200540"
"USA","2018","Tobacco refuse","Import","11386847","19993110.1078089","No Quantity","0"
"USA","2018","Tobacco refuse","Export","22118327","27375961","Weight in kilograms","27375961"
"USA","2018","Tobacco refuse","Re-Export","162167","187188","Weight in kilograms","187188"
"USA","2018","Cigars, cheroots and cigarillos, containing tobacco","Export","32563514","0","No Quantity","0"
"USA","2018","Cigars, cheroots and cigarillos, containing tobacco","Import","1031534465","36034491","Weight in kilograms","36034491"
"USA","2018","Cigars, cheroots and cigarillos, containing tobacco","Re-Export","4061287","0","Thousands of items","22144"
"USA","2018","Cigarettes containing tobacco","Export","1071935992","0","No Quantity","0"
"USA","2018","Cigarettes containing tobacco","Import","400699776","23704032","Weight in kilograms","23704032"
"USA","2018","Cigarettes containing tobacco","Re-Export","1053233375","0","Thousands of items","11764401"
"USA","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Export","4436094","","No Quantity","0"
"USA","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Import","356244","21436","Weight in kilograms","21436"
"USA","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Re-Export","99796","0","Thousands of items","2814"
"USA","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Import","44314973","4559498","Weight in kilograms","4559498"
"USA","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Export","77939807","8633548","Weight in kilograms","8633548"
"USA","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Re-Export","14709561","2815349","Weight in kilograms","2815349"
"USA","2018","Homogenized or reconstituted tobacco","Import","33290331","1683003","Weight in kilograms","1683003"
"USA","2018","Homogenized or reconstituted tobacco","Export","38241719","5710456","Weight in kilograms","5710456"
"USA","2018","Homogenized or reconstituted tobacco","Re-Export","272682","86747","Weight in kilograms","86747"
"USA","2018","Products of tobacco, substitute nes, extract, essence","Import","48338638","1118194","Weight in kilograms","1118194"
"USA","2018","Products of tobacco, substitute nes, extract, essence","Export","32879804","3141092","Weight in kilograms","3141092"
"USA","2018","Products of tobacco, substitute nes, extract, essence","Re-Export","841827","43526","Weight in kilograms","43526"
"USA","2017","Tobacco, unmanufactured, not stemmed or stripped","Import","287806058","46071151","Weight in kilograms","46071151"
"USA","2017","Tobacco, unmanufactured, not stemmed or stripped","Export","100201465","11259640","Weight in kilograms","11259640"
"USA","2017","Tobacco, unmanufactured, not stemmed or stripped","Re-Export","19459645","3631069","Weight in kilograms","3631069"
"USA","2017","Tobacco, unmanufactured, stemmed or stripped","Import","366654240","74371176","Weight in kilograms","74371176"
"USA","2017","Tobacco, unmanufactured, stemmed or stripped","Export","986045654","120146543","Weight in kilograms","120146543"
"USA","2017","Tobacco, unmanufactured, stemmed or stripped","Re-Export","79717528","9723806","Weight in kilograms","9723806"
"USA","2017","Tobacco refuse","Import","7963625","14466022","Weight in kilograms","14466022"
"USA","2017","Tobacco refuse","Export","25082548","27869560","Weight in kilograms","27869560"
"USA","2017","Tobacco refuse","Re-Export","1827435","1784861","Weight in kilograms","1784861"
"USA","2017","Cigars, cheroots and cigarillos, containing tobacco","Export","26790850","0","No Quantity","0"
"USA","2017","Cigars, cheroots and cigarillos, containing tobacco","Import","977166048","35120757","Weight in kilograms","35120757"
"USA","2017","Cigars, cheroots and cigarillos, containing tobacco","Re-Export","3770818","0","Thousands of items","19184"
"USA","2017","Cigarettes containing tobacco","Export","900325895","0","No Quantity","0"
"USA","2017","Cigarettes containing tobacco","Import","425620851","24492462","Weight in kilograms","24492462"
"USA","2017","Cigarettes containing tobacco","Re-Export","855837176","0","Thousands of items","13986783"
"USA","2017","Cigars, cheroots, cigarettes, with tobacco substitute","Export","2770290","","No Quantity","0"
"USA","2017","Cigars, cheroots, cigarettes, with tobacco substitute","Import","287086","22837","Weight in kilograms","22837"
"USA","2017","Cigars, cheroots, cigarettes, with tobacco substitute","Re-Export","58593","0","Thousands of items","2001"
"USA","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Import","40097936","3901149","Weight in kilograms","3901149"
"USA","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Export","67663054","7675705","Weight in kilograms","7675705"
"USA","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Re-Export","11023926","2073439","Weight in kilograms","2073439"
"USA","2017","Homogenized or reconstituted tobacco","Import","33781897","2275702","Weight in kilograms","2275702"
"USA","2017","Homogenized or reconstituted tobacco","Export","37967259","7607231","Weight in kilograms","7607231"
"USA","2017","Homogenized or reconstituted tobacco","Re-Export","71587","21307","Weight in kilograms","21307"
"USA","2017","Products of tobacco, substitute nes, extract, essence","Import","34214209","892799","Weight in kilograms","892799"
"USA","2017","Products of tobacco, substitute nes, extract, essence","Export","33059548","3162274","Weight in kilograms","3162274"
"USA","2017","Products of tobacco, substitute nes, extract, essence","Re-Export","386784","29024","Weight in kilograms","29024"
"USA","2016","Tobacco, unmanufactured, not stemmed or stripped","Import","297773590","46792260","Weight in kilograms","46792260"
"USA","2016","Tobacco, unmanufactured, not stemmed or stripped","Export","91216175","11030542","Weight in kilograms","11030542"
"USA","2016","Tobacco, unmanufactured, not stemmed or stripped","Re-Export","24441414","4525094","Weight in kilograms","4525094"
"USA","2016","Tobacco, unmanufactured, stemmed or stripped","Import","453714489","88184363","Weight in kilograms","88184363"
"USA","2016","Tobacco, unmanufactured, stemmed or stripped","Export","1024647767","130637354","Weight in kilograms","130637354"
"USA","2016","Tobacco, unmanufactured, stemmed or stripped","Re-Export","31198228","4267972","Weight in kilograms","4267972"
"USA","2016","Tobacco refuse","Import","12184146","18934685","Weight in kilograms","18934685"
"USA","2016","Tobacco refuse","Export","26070776","32239679","Weight in kilograms","32239679"
"USA","2016","Tobacco refuse","Re-Export","870916","838804","Weight in kilograms","838804"
"USA","2016","Cigars, cheroots and cigarillos, containing tobacco","Export","27320645","0","No Quantity","0"
"USA","2016","Cigars, cheroots and cigarillos, containing tobacco","Import","908022575","33254582","Weight in kilograms","33254582"
"USA","2016","Cigars, cheroots and cigarillos, containing tobacco","Re-Export","2607301","0","Thousands of items","13613"
"USA","2016","Cigarettes containing tobacco","Export","989018328","0","No Quantity","0"
"USA","2016","Cigarettes containing tobacco","Import","422186000","37195957","Weight in kilograms","37195957"
"USA","2016","Cigarettes containing tobacco","Re-Export","732048964","0","Thousands of items","63343366"
"USA","2016","Cigars, cheroots, cigarettes, with tobacco substitute","Export","2934255","","No Quantity","0"
"USA","2016","Cigars, cheroots, cigarettes, with tobacco substitute","Import","291024","37871","Weight in kilograms","37871"
"USA","2016","Cigars, cheroots, cigarettes, with tobacco substitute","Re-Export","206219","0","Thousands of items","6097"
"USA","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Import","40432137","4211549","Weight in kilograms","4211549"
"USA","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Export","51827164","6734419","Weight in kilograms","6734419"
"USA","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Re-Export","11967834","2169390","Weight in kilograms","2169390"
"USA","2016","Homogenized or reconstituted tobacco","Import","33977572","1819058","Weight in kilograms","1819058"
"USA","2016","Homogenized or reconstituted tobacco","Export","34443652","6466814","Weight in kilograms","6466814"
"USA","2016","Homogenized or reconstituted tobacco","Re-Export","17227","3898","Weight in kilograms","3898"
"USA","2016","Products of tobacco, substitute nes, extract, essence","Import","30791319","978992","Weight in kilograms","978992"
"USA","2016","Products of tobacco, substitute nes, extract, essence","Export","50336056","7644169","Weight in kilograms","7644169"
"USA","2016","Products of tobacco, substitute nes, extract, essence","Re-Export","692006","51985","Weight in kilograms","51985"

